"행정구역(시군구)별","성별","연령별","항목","단위","2025 년",
"서울특별시","남자","84세","주민등록연앙인구","","15584.5",
"서울특별시","남자","85세 이상","주민등록연앙인구","","60595",
"서울특별시","남자","85세","주민등록연앙인구","","12988.5",
"서울특별시","남자","86세","주민등록연앙인구","","11105.5",
"서울특별시","남자","87세","주민등록연앙인구","","8941.5",
"서울특별시","남자","88세","주민등록연앙인구","","7107",
"서울특별시","남자","89세","주민등록연앙인구","","5686",
"서울특별시","남자","90세","주민등록연앙인구","","4313",
"서울특별시","남자","91세","주민등록연앙인구","","3088.5",
"서울특별시","남자","92세","주민등록연앙인구","","2267.5",
"서울특별시","남자","93세","주민등록연앙인구","","1555",
"서울특별시","남자","94세","주민등록연앙인구","","1063",
"서울특별시","남자","95세","주민등록연앙인구","","832.5",
"서울특별시","남자","96세","주민등록연앙인구","","628",
"서울특별시","남자","97세","주민등록연앙인구","","407.5",
"서울특별시","남자","98세","주민등록연앙인구","","223.5",
"서울특별시","남자","99세","주민등록연앙인구","","119.5",
"서울특별시","남자","100세 이상","주민등록연앙인구","","268.5",
"서울특별시","여자","계","주민등록연앙인구","","4789264.5",
"서울특별시","여자","0세","주민등록연앙인구","","20275.5",
"서울특별시","여자","1세","주민등록연앙인구","","18949",
"서울특별시","여자","2세","주민등록연앙인구","","18923.5",
"서울특별시","여자","3세","주민등록연앙인구","","20042",
"서울특별시","여자","4세","주민등록연앙인구","","20724.5",
"서울특별시","여자","5세","주민등록연앙인구","","21698.5",
"서울특별시","여자","6세","주민등록연앙인구","","23506",
"서울특별시","여자","7세","주민등록연앙인구","","25640.5",
"서울특별시","여자","8세","주민등록연앙인구","","28539",
"서울특별시","여자","9세","주민등록연앙인구","","31446.5",
"서울특별시","여자","10세","주민등록연앙인구","","32562",
"서울특별시","여자","11세","주민등록연앙인구","","32336",
"서울특별시","여자","12세","주민등록연앙인구","","34262.5",
"서울특별시","여자","13세","주민등록연앙인구","","35563",
"서울특별시","여자","14세","주민등록연앙인구","","35003.5",
"서울특별시","여자","15세","주민등록연앙인구","","34472.5",
"서울특별시","여자","16세","주민등록연앙인구","","34726",
"서울특별시","여자","17세","주민등록연앙인구","","36800",
"서울특별시","여자","18세","주민등록연앙인구","","36567.5",
"서울특별시","여자","19세","주민등록연앙인구","","38309.5",
"서울특별시","여자","20세","주민등록연앙인구","","43290",
"서울특별시","여자","21세","주민등록연앙인구","","48603.5",
"서울특별시","여자","22세","주민등록연앙인구","","51738.5",
"서울특별시","여자","23세","주민등록연앙인구","","58448.5",
"서울특별시","여자","24세","주민등록연앙인구","","69796",
"서울특별시","여자","25세","주민등록연앙인구","","76265",
"서울특별시","여자","26세","주민등록연앙인구","","78079",
"서울특별시","여자","27세","주민등록연앙인구","","82605.5",
"서울특별시","여자","28세","주민등록연앙인구","","84684.5",
"서울특별시","여자","29세","주민등록연앙인구","","84514",
"서울특별시","여자","30세","주민등록연앙인구","","84127.5",
"서울특별시","여자","31세","주민등록연앙인구","","82209.5",
"서울특별시","여자","32세","주민등록연앙인구","","81090",
"서울특별시","여자","33세","주민등록연앙인구","","79512.5",
"서울특별시","여자","34세","주민등록연앙인구","","72944.5",
"서울특별시","여자","35세","주민등록연앙인구","","67362.5",
"서울특별시","여자","36세","주민등록연앙인구","","65669",
"서울특별시","여자","37세","주민등록연앙인구","","63985.5",
"서울특별시","여자","38세","주민등록연앙인구","","62610.5",
"서울특별시","여자","39세","주민등록연앙인구","","62645.5",
"서울특별시","여자","40세","주민등록연앙인구","","62916",
"서울특별시","여자","41세","주민등록연앙인구","","65707",
"서울특별시","여자","42세","주민등록연앙인구","","71279",
"서울특별시","여자","43세","주민등록연앙인구","","73798",
"서울특별시","여자","44세","주민등록연앙인구","","73796",
"서울특별시","여자","45세","주민등록연앙인구","","73821.5",
"서울특별시","여자","46세","주민등록연앙인구","","67622.5",
"서울특별시","여자","47세","주민등록연앙인구","","65182",
"서울특별시","여자","48세","주민등록연앙인구","","67625.5",
"서울특별시","여자","49세","주민등록연앙인구","","67403.5",
"서울특별시","여자","50세","주민등록연앙인구","","70697",
"서울특별시","여자","51세","주민등록연앙인구","","74924.5",
"서울특별시","여자","52세","주민등록연앙인구","","77032",
"서울특별시","여자","53세","주민등록연앙인구","","78989.5",
"서울특별시","여자","54세","주민등록연앙인구","","79816",
"서울특별시","여자","55세","주민등록연앙인구","","77834.5",
"서울특별시","여자","56세","주민등록연앙인구","","76389.5",
"서울특별시","여자","57세","주민등록연앙인구","","73825",
"서울특별시","여자","58세","주민등록연앙인구","","67092.5",
"서울특별시","여자","59세","주민등록연앙인구","","65757.5",
"서울특별시","여자","60세","주민등록연앙인구","","68818",
"서울특별시","여자","61세","주민등록연앙인구","","66568",
"서울특별시","여자","62세","주민등록연앙인구","","67315",
"서울특별시","여자","63세","주민등록연앙인구","","71715.5",
"서울특별시","여자","64세","주민등록연앙인구","","75390",
"서울특별시","여자","65세","주민등록연앙인구","","74503",
"서울특별시","여자","66세","주민등록연앙인구","","69459",
"서울특별시","여자","67세","주민등록연앙인구","","67094",
"서울특별시","여자","68세","주민등록연앙인구","","64449",
"서울특별시","여자","69세","주민등록연앙인구","","63785.5",
"서울특별시","여자","70세","주민등록연앙인구","","60253.5",
"서울특별시","여자","71세","주민등록연앙인구","","51621.5",
