학교명,주소,위도,경도
광주체육고등학교,광주광역시 북구 하서로 55,35.18250305,126.8794162
광탄고등학교,경기도 파주시 광탄면 혜음로1128번길 16,37.78343723,126.848919
광혜원고등학교,충청북도 진천군 광혜원면 덕성산로 56,36.99429574,127.4280498
광휘고등학교,경기도 광명시 서원로 41,37.4290157,126.8818263
괴산고등학교,충청북도 괴산군 괴산읍 읍내로 106,36.79657848,127.7796338
교동고등학교,인천광역시 강화군 교동면 교동남로 77,37.77846268,126.2843169
교하고등학교,경기도 파주시 책향기로 180,37.7226655,126.7217207
구덕고등학교,부산광역시 사상구 학감대로 81,35.13842716,128.9907463
구례고등학교,전라남도 구례군 구례읍 봉성로 15-18,35.20383015,127.462733
구로고등학교,서울특별시 구로구 가마산로27길 45,37.49884009,126.8903092
구리고등학교,경기도 구리시 장자대로 89,37.58857093,127.1400939
구리여자고등학교,경기도 구리시 벌말로 168,37.59175747,127.1514056
구림공업고등학교,전라남도 영암군 군서면 왕인로 453,34.75989027,126.6263371
구미고등학교,경상북도 구미시 문장로 42,36.13777736,128.3327162
구미산동고등학교,경상북도 구미시 산동면 신당인덕2로 11,36.15915026,128.436368
구미여자고등학교,경상북도 구미시 문장로 114,36.14446461,128.3316915
구미여자상업고등학교,경상북도 구미시 형곡로38길 9-14,36.10756924,128.3421444
구미전자공업고등학교,경상북도 구미시 임수로 48,36.11720873,128.4046109
구미정보고등학교,경상북도 구미시 검성로 143,36.11855183,128.4342303
구산고등학교,경상남도 김해시 가야로 311,35.25044359,128.8756694
구성고등학교,경기도 용인시 기흥구 연원로42번길 47,37.29914483,127.1156348
구암고등학교,대구광역시 북구 태암남로11길 7,35.92623822,128.553221
구암고등학교,서울특별시 관악구 성현로 57,37.49244195,126.949625
구일고등학교,서울특별시 구로구 구일로 90-51,37.49350529,126.8746185
구현고등학교,서울특별시 구로구 경인로53가길 17,37.50220279,126.8744458
국립국악고등학교,서울특별시 강남구 개포로22길 65,37.4762308,127.0514732
국립전통예술고등학교,서울특별시 금천구 시흥대로38길 62,37.44637006,126.9064871
국원고등학교,충청북도 충주시 탄금대로 88,36.97949344,127.9214027
